index,approveText,title,searchYear,searchFund,searchCode,codeText,fundTypeText,personText,money,approveYear,endYear,organization,keywords
"1","31871096","1.视觉信息层级表征机制及其计算模型","2022","面上项目","C0907","C0907","面上项目","周吉帆","60.0","2018","2022","浙江大学","知觉组织； 认知建模； 知觉； 层级表征"
"2","31871100","2.不同类型注意对视觉工作记忆表征的影响","2022","面上项目","C0907","C0907","面上项目","李寿欣","60.0","2018","2022","山东师范大学","注意； 内隐记忆； 外显记忆； 记忆提取； 工作记忆"
"3","31871091","3.社会群体线索对行为预测的影响及其认知机制","2022","面上项目","C0907","C0907","面上项目","尹军","50.0","2018","2022","宁波大学","行为预测； 社会认知； 社会群体； 模仿行为"
"4","31871092","4.跨视听通道返回抑制不对称性的神经机制","2022","面上项目","C0907","C0907","面上项目","张明","60.0","2018","2022","苏州大学","客体注意； 返回抑制； 空间注意； 外源性注意； 视听跨通道"
"5","31871108","5.音乐训练对口语语流加工的影响","2022","面上项目","C0907","C0907","面上项目","杨晓虹","60.0","2018","2022","中国人民大学","音乐训练； 边界； 重读； 情绪韵律； 言语"
"6","31871097","6.第二语言口语产生的脑网络、个体差异及优化","2022","面上项目","C0907","C0907","面上项目","郭桃梅","60.0","2018","2022","北京师范大学","个体差异； 第二语言； 心理语言学； 脑网络； 言语"
"7","31871141","7.社会文化影响饮食和身体意象障碍的神经和认知反应","2022","面上项目","C0907","C0907","面上项目","Todd Jackson","60.0","2018","2022","西南大学","饮食失调； 社会文化影响； 文化； 社会认知； 神经反应"
"8","31872780","8.风险跨期决策的动态心理机制","2022","面上项目","C0907","C0907","面上项目","戴俊毅","60.0","2018","2022","浙江大学","认知建模； 行为决策； 决策； 风险决策； 跨期决策"
"9","31871098","9.自我损耗的认知加工和神经机制","2022","面上项目","C0907","C0907","面上项目","毛利华","62.0","2018","2022","北京大学","自我损耗； 内隐社会认知； 社会认知； 双过程模型； 功能磁共振成像"
"10","31872785","10.汉语口语阅读的脑白质网络：来自四类被试群体的证据","2022","面上项目","C0907","C0907","面上项目","韩在柱","60.0","2018","2022","北京师范大学","语音产生； 口语阅读； 脑白质网络； 词汇命名； 汉语"
"11","31871132","11.人和猕猴序列学习的行为和神经机制研究","2022","面上项目","C0907","C0907","面上项目","王立平","62.0","2018","2022","中国科学院脑科学与智能技术卓越创新中心","概念提取； 猕猴； 嵌套结构； 序列学习； 布洛卡区"
"12","31872786","12.视觉学习的皮层重组机制","2022","面上项目","C0907","C0907","面上项目","宋宜颖","60.0","2018","2022","北京师范大学","视觉学习； 磁共振脑成像； 功能重组； 可塑性"
"13","31871106","13.生理因素与社会因素影响共情的脑机制研究","2022","面上项目","C0907","C0907","面上项目","罗文波","62.0","2018","2022","辽宁师范大学","社会认知； 共情； 多模态脑影像； 激素"
"14","31871102","14.感知运动学习中反馈信息的认知机制研究","2022","面上项目","C0907","C0907","面上项目","魏坤琳","60.0","2018","2022","北京大学","运动控制； 背侧通路和腹侧通路； 运动技能学习； 多感觉整合； 运动学习"
"15","31871140","15.风险和跨期决策的行为和神经基础同源性研究","2022","面上项目","C0907","C0907","面上项目","李健","62.0","2018","2022","北京大学","价值； 决策； 风险； 不确定性； 跨期"
"16","31871104","16.长时程适应对眼优势可塑性的影响","2022","面上项目","C0907","C0907","面上项目","鲍敏","60.0","2018","2022","中国科学院心理研究所","增强现实； 眼优势； 知觉； 双眼竞争； 可塑性"
"17","31871139","17.恒河猴内侧颞叶在短时记忆任务中对多个物体形态-位置信息的神经表征","2022","面上项目","C0907","C0907","面上项目","纳家勇治","63.0","2018","2022","北京大学","视觉系统； 神经生理学； 海马； 情景记忆； 知觉学习"
"18","31871107","18.双眼竞争中人脑视皮层亚层特异的7T超高场功能磁共振成像","2022","面上项目","C0907","C0907","面上项目","张朋","60.0","2018","2022","中国科学院生物物理研究所","超高场功能磁共振； 视觉通路； 双眼竞争； 前馈加工； 反馈加工"
"19","31871137","19.损失规避支配假说的提出与验证","2022","面上项目","C0907","C0907","面上项目","徐鹏飞","62.0","2018","2022","北京师范大学","决策； 风险； 活体人脑测量和干预技术成像； 不确定性； 损失规避"
"20","31871093","20.基于情绪（情志）相生相克原理的情绪调节策略的心理与脑机制","2022","面上项目","C0907","C0907","面上项目","罗劲","62.0","2018","2022","首都师范大学","认知重评； 情绪加工； 情绪相生相克； 情绪调节； 情绪"
"21","31871105","21.社会语义整合的脑机制","2022","面上项目","C0907","C0907","面上项目","林楠","60.0","2018","2022","中国科学院心理研究所","篇章理解； 语义； 语义整合； 功能磁共振； 社会语义"
"22","31871142","22.群际关系影响疼痛共情及利他性行为的中介效应分析和神经机制","2022","面上项目","C0907","C0907","面上项目","刘勋","60.0","2018","2022","中国科学院心理研究所","利他； 第三方惩罚； 共情； 群际关系； 反向共情"
"23","31871136","23.面孔认知过程中左右脑的动态交互作用","2022","面上项目","C0907","C0907","面上项目","孟明","62.0","2018","2022","华南师范大学","视觉系统； 面孔加工； 脑功能侧异性； 活体人脑测量和干预技术成像； 心理物理"
