index,approveText,title,searchYear,searchFund,searchCode,codeText,fundTypeText,personText,money,approveYear,endYear,organization,keywords
"1","31871076","1.а-Klotho在记忆形成和海马突触可塑性中的作用机制","2022","面上项目","C0906","C0906","面上项目","Thomas Behnisch","59.0","2018","2022","复旦大学","海马； 记忆形成； 突触可塑性； 抗衰老； 神经再生"
"2","31871078","2.猕猴前额叶和后顶叶皮层可逆性失活对视空间稳定性的影响","2022","面上项目","C0906","C0906","面上项目","张鸣沙","59.0","2018","2022","北京师范大学","额顶皮层； 猕猴； 两步眼跳； 可逆性失活； 视知觉"
"3","31871079","3.记忆诱导序列眼动的皮层调控机制","2022","面上项目","C0906","C0906","面上项目","陈爱华","60.0","2018","2022","华东师范大学","额叶眼动区； 眼动； 认知神经科学； 序列学习； 信息加工"
"4","31871080","4.颞叶癫痫导致情绪障碍的神经环路机制研究","2022","面上项目","C0906","C0906","面上项目","鲁艺","59.0","2018","2022","中国科学院深圳先进技术研究院","共患病； 神经环路； 恐惧和焦虑； 颞叶癫痫； 情绪"
"5","31872776","5.猕猴前额叶皮层中与工作记忆和注意相关的功能结构及其可塑性研究","2022","面上项目","C0906","C0906","面上项目","Hisashi Tanigawa","59.0","2018","2022","浙江大学","灵长类； 功能柱； 视觉注意； 工作记忆； 前额叶皮层"
"6","31871077","6.人科动物特异基因USP6参与智力进化的分子机制研究","2022","面上项目","C0906","C0906","面上项目","王鑫","59.0","2018","2022","厦门大学","认知行为； 学习； 可塑性； 离子通道； 递质受体"
"7","31900733","1.Hippo信号通路在阿尔茨海默病中的作用及机制研究","2022","青年科学基金项目","C0906","C0906","青年科学基金项目","王晖","25.0","2019","2022","河北工业大学","Hippo信号通路； 阿尔茨海默病； 突触可塑性； MST1； 学习记忆障碍"
"8","31900734","2.中脑多巴胺能神经元调节海马CA3时间记忆编码的神经环路机制研究","2022","青年科学基金项目","C0906","C0906","青年科学基金项目","杜会芸","25.0","2019","2022","华中科技大学","中脑黑质致密部； 海马； 学习与记忆的神经环路机制； 时间记忆编码； 多巴胺"
"9","31900735","3.丘脑室旁核-外侧内嗅皮层环路在场景记忆中的作用及机制","2022","青年科学基金项目","C0906","C0906","青年科学基金项目","周魁魁","25.0","2019","2022","中国科学院深圳先进技术研究院","丘脑室旁核； 学习与记忆的神经环路机制； 突触可塑性； 刺激重要性； 外侧内嗅皮层"
"10","31900801","4.先天听力障碍群体在嘈杂环境下语音加工的注意调控机制及干预策略","2022","青年科学基金项目","C0906","C0906","青年科学基金项目","张畅芯","21.0","2019","2022","华东师范大学","信息掩蔽； 听知觉； 早期听觉剥夺； 选择性注意； 鸡尾酒会问题"
"11","31900732","5.组蛋白去甲基化基因Utx调控小鼠学习记忆功能的机制研究","2022","青年科学基金项目","C0906","C0906","青年科学基金项目","陈蕾","24.0","2019","2022","上海交通大学","组蛋白去甲基化； 学习； Utx基因； 长时程增强； 记忆"
"12","31860272","1.PV神经元-Rac1蛋白在阿尔茨海默病长时记忆提取障碍的作用","2022","地区科学基金项目","C0906","C0906","地区科学基金项目","甘平","39.0","2018","2022","昆明医科大学","提取障碍； 阿尔茨海默病； Rac1； 神经元； PV； 记忆"
"13","31860273","2.lncRNA-HN促进hnRNP-U核转位介导铅暴露影响学习记忆机制的研究","2022","地区科学基金项目","C0906","C0906","地区科学基金项目","祝高春","40.0","2018","2022","南昌大学","长链非编码RNA； 铅暴露； 学习； 模型； 核不均一核糖核蛋白-U"
