index,approveText,title,searchYear,searchFund,searchCode,codeText,fundTypeText,personText,money,approveYear,endYear,organization,keywords
"1","31570275","1.拟南芥PPR蛋白SOAR1调控种子萌发的机制研究","2019","面上项目","C0206","C0206","面上项目","王小芳","63.0","2015","2019","清华大学","脱落酸； 拟南芥； 赤霉素； PPR蛋白； 种子萌发"
"2","31570280","2.拟南芥泛素连接酶PUB30和PUB31在油菜素内酯信号转导过程中的功能研究","2019","面上项目","C0206","C0206","面上项目","赵金凤","63.0","2015","2019","中国农业科学院作物科学研究所","油菜素内脂； 基因表达调控； 信号转导"
"3","31770306","3.探索RabA2A GTP酶调控PIN蛋白顶端极性膜定位的生物学机制","2019","面上项目","C0206","C0206","面上项目","李瑞熙","25.0","2017","2019","南方科技大学","内膜分选途径； 极性运输； RabA2A； 生长素； GTP酶； PIN蛋白顶端极性定位"
"4","31570273","4.WUS调控多激素参与植物干细胞维持的分子机理","2019","面上项目","C0206","C0206","面上项目","赵忠","65.0","2015","2019","中国科学技术大学","植物干细胞； WUS； 植物分子遗传； CHIP； 植物激素"
"5","31570281","5.细胞分裂素和生长素互作调节拟南芥茎端分生组织维持机制的研究","2019","面上项目","C0206","C0206","面上项目","程志娟","62.0","2015","2019","山东农业大学","细胞分裂素； 干细胞； 拟南芥； 茎端分生组织； 生长素"
"6","31570279","6.TOR介导的糖营养信号调控SAM活性的分子机理研究","2019","面上项目","C0206","C0206","面上项目","李平","63.0","2015","2019","中国科学院分子植物科学卓越创新中心","茎端分生组织； 分生组织活性； 代谢信号； 植物产量； TOR信号"
"7","31570276","7.拟南芥CDG1负调控免疫信号转导中MAPK激活的分子机制研究","2019","面上项目","C0206","C0206","面上项目","李剑峰","63.0","2015","2019","中山大学","负调控； 油菜素内酯； MAPK激活； 植物免疫信号转导； CDG1"
"8","31570274","8.ROP信号转导对生长素极性运输的调控机制","2019","面上项目","C0206","C0206","面上项目","陶利珍","63.0","2015","2019","华南农业大学","极性运输； 拟南芥； 生长素； 小G蛋白ROP"
"9","31570277","9.非CTR1介导的乙烯信号传递","2019","面上项目","C0206","C0206","面上项目","文啟光","65.0","2015","2019","中国科学院分子植物科学卓越创新中心","乙烯； 拟南芥； 激酶； 双元受体； 信号转导"
"10","31770307","10.FERONIA受体激酶调控核受体TIR1参与生长素信号通路的分子机制研究","2019","面上项目","C0206","C0206","面上项目","李超","25.0","2017","2019","华东师范大学","FERONIA； 受体激酶； 生长素； 信号转导； 受体"
"11","31570278","11.Angustifolia 调控生长素输出蛋白PIN1极性定位和叶表皮细胞形态建成","2019","面上项目","C0206","C0206","面上项目","林德书","68.0","2015","2019","福建农林大学","叶表皮细胞； 生长素输出蛋白； 细胞形态发生； 囊泡运输"
