index,approveText,title,searchYear,searchFund,searchCode,codeText,fundTypeText,personText,money,approveYear,endYear,organization,keywords
"1","31872215","1.深海化能生态系统中优势种柯氏潜铠虾的微进化研究","2022","面上项目","C0401","C0401","面上项目","惠敏","58.0","2018","2022","中国科学院海洋研究所","种群基因组学； 无脊椎动物； 深海极端环境； 微进化； 适应性"
"2","31872219","2.鲸类""健康隐睾”的分子进化机制","2022","面上项目","C0401","C0401","面上项目","任文华","60.0","2018","2022","南京师范大学","隐睾； 遗传适应； 自然选择； 脊椎动物； 进化基因组学"
"3","31872959","3. 西北干旱荒漠区利什曼原虫、白蛉和蜥蜴的协同进化研究","2022","面上项目","C0401","C0401","面上项目","陈达丽","58.0","2018","2022","四川大学","干旱荒漠区； 蜥蜴； 原生动物； 白蛉； 共进化"
"4","31872242","4.多组学联合探究紫貂寒冷适应性进化机制","2022","面上项目","C0401","C0401","面上项目","张洪海","62.0","2018","2022","曲阜师范大学","紫貂； 适应性进化； 脊椎动物； 遗传资源"
"5","31872213","5.藏羚羊群体历史和高原适应进化机制","2022","面上项目","C0401","C0401","面上项目","于黎","62.0","2018","2022","云南大学","种群基因组学； 适应性进化； 自然选择； 基因流； 种群历史"
"6","31872216","6.中国东喜马拉雅地区主要无尾两栖类繁殖生态学研究","2022","面上项目","C0401","C0401","面上项目","张丽霞","57.0","2018","2022","河南师范大学","生活史； 进化； 两栖类； 脊椎动物； 生态适应"
"7","31872220","7.臭蛙属物种同域共存机制及进化模式研究","2022","面上项目","C0401","C0401","面上项目","陈晓虹","60.0","2018","2022","河南师范大学","生态位分离； 臭蛙属； 性状替换； 物种共存； 基因流"
"8","31872218","8.利用斑马鱼和金线鲃对洞穴鱼眼睛退化机制和眼睛发育调控网络的研究","2022","面上项目","C0401","C0401","面上项目","孟凡伟","59.0","2018","2022","中国科学院动物研究所","眼睛； 转录调控； 金线鲃； 脊椎动物； 形态适应"
"9","31900307","1.利用粪便菌群移植技术（FMT）改善圈养大熊猫肠道菌群结构的研究","2022","青年科学基金项目","C0401","C0401","青年科学基金项目","郭维","21.0","2019","2022","成都医学院","粪便菌群移植； 微生物； 大熊猫； 宿主； 适应"
"10","31900315","2.多物种中强心苷类毒素耐受性的趋同演化的分子机制研究","2022","青年科学基金项目","C0401","C0401","青年科学基金项目","甄莹","24.0","2019","2022","西湖大学","遗传趋同； 遗传适应； 分子趋同； 平行进化"
"11","31900313","3.高海拔适应鸟类血红蛋白非平行进化的种群背景成因","2022","青年科学基金项目","C0401","C0401","青年科学基金项目","朱筱佳","25.0","2019","2022","陕西师范大学","平衡选择； 固有遗传变异； 空间变化选择； 适应性渐渗； 平行进化"
"12","31900309","4.增强子趋异在共生湖沼和底栖三刺鱼适应性进化中的作用","2022","青年科学基金项目","C0401","C0401","青年科学基金项目","王牧骅","24.0","2019","2022","中山大学","增强子； 表观遗传； 适应性进化； 三刺鱼； 进化基因组学"
"13","31900316","5.具有多性别的原生动物嗜热四膜虫性比的群体遗传学及进化研究","2022","青年科学基金项目","C0401","C0401","青年科学基金项目","王光营","24.0","2019","2022","中国科学院水生生物研究所","原生动物； 性比； 模型； 群体遗传学； 进化基因组学"
"14","31900311","6.基于群体基因组的紫貂群体演化和表型适应的遗传机制研究","2022","青年科学基金项目","C0401","C0401","青年科学基金项目","刘广帅","23.0","2019","2022","曲阜师范大学","紫貂； 适应性进化； 脊椎动物； 野生动物资源"
"15","31900310","7.鲸类氧化应激防御的进化遗传学机制","2022","青年科学基金项目","C0401","C0401","青年科学基金项目","田然","24.0","2019","2022","南京师范大学","遗传适应； 氧化应激防御； 自然选择； 脊椎动物； 进化基因组学"
"16","31900314","8.利用基因组学解析金丝猴对秦岭独特生境的适应机制","2022","青年科学基金项目","C0401","C0401","青年科学基金项目","武进伟","26.0","2019","2022","西北大学","自然选择； 脊椎动物； 生态适应； 正选择； 进化基因组学"
"17","31900312","9.电鲶基因组解析与强电鱼释放高压电的分子机制研究","2022","青年科学基金项目","C0401","C0401","青年科学基金项目","李永鑫","25.0","2019","2022","西北工业大学","遗传适应； 遗传机制； 防御； 正选择； 进化基因组学"
