index,approveText,title,searchYear,searchFund,searchCode,codeText,fundTypeText,personText,money,approveYear,endYear,organization,keywords
"1","31872191","1.青鳉DMY基因缺失造成性反转中性别差异miRNAs调控的机制研究","2022","面上项目","C0404","C0404","面上项目","罗大极","62.0","2018","2022","武汉大学","性别决定； 脊椎动物； 性腺； 小RNA； 性别差异"
"2","31872187","2.CRIP1在胚胎血管发育中的功能和作用机制研究","2022","面上项目","C0404","C0404","面上项目","李红岩","59.0","2018","2022","中国海洋大学","早期发育； 作用机理； 基因功能； 脊椎动物； 器官发育"
"3","31872190","3.高盐极端环境土壤腹毛纲原生动物的细胞发生与物种多样性研究","2022","面上项目","C0404","C0404","面上项目","邵晨","62.0","2018","2022","陕西师范大学","细胞发生学； 原生动物； 无脊椎动物； 形态学； 分类学"
"4","31872189","4.硫酸软骨素聚合因子调控Wnt/β-catenin信号通路和斑马鱼胚胎体轴形成作用机理研究","2022","面上项目","C0404","C0404","面上项目","周建峰","58.0","2018","2022","中国海洋大学","胚层； Wnt/β-catenin； 斑马鱼； 体轴形成； 胚胎发育"
"5","31872186","5.文昌鱼胚胎发育过程中Cerberus基因左右不对称表达的调控机制","2022","面上项目","C0404","C0404","面上项目","李光","60.0","2018","2022","厦门大学","左右不对称； 无脊椎动物； 胚胎发育； 文昌鱼"
"6","31900339","1.原生动物小口钟虫生殖细胞分化的调控分子基础","2022","青年科学基金项目","C0404","C0404","青年科学基金项目","姜传奇","24.0","2019","2022","中国科学院水生生物研究所","小口钟虫； 原生动物； 异配生殖； 有性生殖； 生殖细胞"
"7","31900340","2.亲本对野生猎隼子代性别比例的影响","2022","青年科学基金项目","C0404","C0404","青年科学基金项目","林蓁蓁","25.0","2019","2022","中国科学院动物研究所","种群繁殖； 进化稳定对策； 子代性比； 亲本因素； 猎隼"
