index,approveText,title,searchYear,searchFund,searchCode,codeText,fundTypeText,personText,money,approveYear,endYear,organization,keywords
"1","31870357","1.植物与传粉者合作的进化动态研究","2022","面上项目","C0309","C0309","面上项目","孙杉","34.0","2018","2022","兰州大学","进化博弈论； 信号博弈； 物种共存； 物种互作； 互利共生"
"2","31870364","2.外来植物空心莲子草入侵的土壤微生物学机制及生态学效应","2022","面上项目","C0309","C0309","面上项目","何敏艳","60.0","2018","2022","中国科学院武汉植物园","生态学效应； 土壤微生物功能群落； 宿主防御； 植物入侵； 物种互作"
"3","31872679","3.蔷薇科生命之树的建立及其在物种分布时空动态历史重建中的应用","2022","面上项目","C0309","C0309","面上项目","周世良","60.0","2018","2022","中国科学院植物研究所","生命之树； 生物多样性保护； 生物多样性； 谱系地理； 分子年代测定"
"4","31870359","4.种间杂交对专性传粉榕属植物物种多样性形成的影响研究","2022","面上项目","C0309","C0309","面上项目","王刚","60.0","2018","2022","中国科学院西双版纳热带植物园","扩散协同进化； 生物多样性； 杂交； 专性传粉； 榕属"
"5","31870358","5.放养蜜蜂对高寒草甸主要蜜源植物花部特征的影响","2022","面上项目","C0309","C0309","面上项目","彭幼红","60.0","2018","2022","中国科学院成都生物研究所","放养蜜蜂； 选择压力； 花部特征进化； 植物-传粉者； 适应进化"
"6","31870366","6.五倍子蚜与第一寄主植物和内共生菌分子系统发育及协同进化","2022","面上项目","C0309","C0309","面上项目","任竹梅","59.0","2018","2022","山西大学","系统发生； 分子标记； 协同进化； 五倍子蚜； 寄主植物和内共生菌"
"7","31870363","7.兼性自交植物角蒿的花粉限制、近交衰退和大花展示的进化机制","2022","面上项目","C0309","C0309","面上项目","孙海芹","59.0","2018","2022","中国科学院植物研究所","花粉限制； 延迟自交； 花的进化； 自然选择； 近交衰退"
"8","31870360","8.冰草多倍化物种形成式样","2022","面上项目","C0309","C0309","面上项目","凡星","60.0","2018","2022","四川农业大学","同域物种形成； 遗传多样性； 系统发育； 基因流"
"9","31870365","9.青藏高原隆起对高原北部周边三种特有鱼类种群演化和分布格局的影响","2022","面上项目","C0309","C0309","面上项目","赵凯","60.0","2018","2022","中国科学院西北高原生物研究所","青藏高原； 地质事件； 高原鳅属； 谱系地理； 种群历史"
"10","31870361","10.番茄虫害诱导挥发物介导的斜纹夜蛾反防御机制","2022","面上项目","C0309","C0309","面上项目","曾任森","60.0","2018","2022","福建农林大学","多营养级协同进化； 昆虫反防御； 适应进化； 物种互作； 植物挥发物"
"11","31870362","11.入侵植物对本地生态系统三级营养关系的调控机制","2022","面上项目","C0309","C0309","面上项目","王毅","60.0","2018","2022","云南大学","多营养级协同进化； 选择压力； 宿主防御； 适应进化； 物种互作"
"12","31901232","1.盐芥和条叶兰芥共享平衡选择基因的研究","2022","青年科学基金项目","C0309","C0309","青年科学基金项目","王小娟","24.0","2019","2022","西北大学","平衡选择； 基因组； 植物； 适应性进化； 自然选择"
"13","31901233","2.社会性白蚁繁殖与寿命的权衡机制研究","2022","青年科学基金项目","C0309","C0309","青年科学基金项目","张贺","24.0","2019","2022","郑州大学","寿命； 抗氧化物； 适合度； 社会性白蚁； 转录组测序"
"14","31901234","3.隆肛蛙（Feirana quadranus）繁殖策略的地理变异","2022","青年科学基金项目","C0309","C0309","青年科学基金项目","黄燕","24.0","2019","2022","西华师范大学","生活史特征； 生殖对策； 无尾两栖动物； 地理变异； 繁殖模式"
"15","31860108","1.亚洲杂草稻资源主要农艺性状及抗病逆性的分子基础解析","2022","地区科学基金项目","C0309","C0309","地区科学基金项目","陈丽娟","40.0","2018","2022","云南农业大学","抗病逆性； 杂草稻； 全基因组关联分析； 遗传多样性； 系统发育"
"16","31860107","2.报春百合染色体重排与其群体分化关系研究","2022","地区科学基金项目","C0309","C0309","地区科学基金项目","殷根深","39.0","2018","2022","昆明学院","生殖隔离； 染色体重排； 中国西南； 遗传分化； 报春百合"
"17","31860106","3.短花针茅谱系地理与遗传多样性格局形成机制","2022","地区科学基金项目","C0309","C0309","地区科学基金项目","牛建明","39.0","2018","2022","内蒙古大学","短花针茅； 谱系地理； 遗传多样性； 遗传分化； 景观遗传学"
