index,approveText,title,searchYear,searchFund,searchCode,codeText,fundTypeText,personText,money,approveYear,endYear,organization,keywords
"1","31570385","1.青藏高原植物银露梅(蔷薇科)花大小性二态的进化选择研究","2019","面上项目","C0309","C0309","面上项目","段元文","63.0","2015","2019","中国科学院昆明植物研究所","传粉者介导选择； 两性异形； 传粉者偏好； 繁殖适合度； 交配前性选择"
"2","31570381","2.第三纪孑遗植物三桠乌药的种群分化成因研究","2019","面上项目","C0309","C0309","面上项目","王红芳","70.0","2015","2019","北京师范大学","局域适应； 遗传分化； 地理屏障； 基因流； 生态位分化"
"3","31570382","3.我国翼手目动物的地理分布格局及系统发生地理学研究","2019","面上项目","C0309","C0309","面上项目","张树义","63.0","2015","2019","沈阳农业大学","翼手目； 地理分布格局； 系统发生地理学； RAD-seq技术"
"4","31570383","4.普通野生稻边缘种群对气候变暖的适应性响应","2019","面上项目","C0309","C0309","面上项目","宋志平","63.0","2015","2019","复旦大学","边缘种群； 本地适应性； 普通野生稻； 气候变暖； 基因流"
"5","31570384","5.二型花柱向同型花柱演化转变的生态和遗传效应","2019","面上项目","C0309","C0309","面上项目","周伟","63.0","2015","2019","中国科学院昆明植物研究所","交配系统； 同型花柱； 演化转变； 二型花柱； 性多态现象"
"6","31670395","1.以专性传粉者介导的同域榕属物种间的生殖隔离机制","2020","面上项目","C0309","C0309","面上项目","于慧","62.0","2016","2020","中国科学院华南植物园","榕树； 榕小蜂； 生物多样性； 选择压力； 互利共生"
"7","31670391","2.具有生态位构建特征的物种协同进化动态研究","2020","面上项目","C0309","C0309","面上项目","韩晓卓","50.0","2016","2020","广东工业大学","选择压力； 生物多样性； 适应性动态； 适应进化； 互利共生"
"8","31670394","3.高原鼠兔肠道菌群组成及功能对苦马豆素化合物的响应","2020","面上项目","C0309","C0309","面上项目","张堰铭","62.0","2016","2020","中国科学院西北高原生物研究所","多营养级协同进化； 选择压力； 适应进化； 物种互作； 互利共生"
"9","31670390","4.蝙蝠声信号的地理进化","2020","面上项目","C0309","C0309","面上项目","冯江","65.0","2016","2020","吉林农业大学","表型进化； 局域适应； 地理变化； 感官生态； 异域物种形成"
"10","31670393","5.同域分布桑寄生物候异步性的生态意义","2020","面上项目","C0309","C0309","面上项目","张玲","62.0","2016","2020","中国科学院西双版纳热带植物园","开花物候； 适应进化； 桑寄生； 互利共生"
