index,approveText,title,searchYear,searchFund,searchCode,codeText,fundTypeText,personText,money,approveYear,endYear,organization,keywords
"1","31570745","1.内吞性胶原蛋白受体Endo180 的结构研究","2019","面上项目","C0501","C0501","面上项目","袁彩","62.0","2015","2019","福州大学","晶体结构； 内吞性胶原蛋白受体； 结构域重排； Endo180； pH"
"2","31570732","2.小分子热休克蛋白的结构与作用机制","2019","面上项目","C0501","C0501","面上项目","尹长城","65.0","2015","2019","北京大学","冷冻电镜； 分子伴侣； 小分子热休克蛋白； 三维结构； 工作机制"
"3","31570747","3.参与基因表达转录后调控的重要蛋白质-RNA复合物的结构与功能研究","2019","面上项目","C0501","C0501","面上项目","刘超培","60.0","2015","2019","中国科学院生物物理研究所","X-射线晶体学； 蛋白质-RNA复合物； SHE复合物； 转录后调控； WD40结构域"
"4","31570729","4.核小体水平上组蛋白修饰酶和组蛋白密码识别因子参与表观遗传调控的分子机理研究","2019","面上项目","C0501","C0501","面上项目","王占新","65.0","2015","2019","北京师范大学","结构生物学； 分子机理； 核小体； 表观遗传学； 组蛋白密码"
"5","31570730","5.冷冻电镜数据采集和实时电子显微图像处理技术研究","2019","面上项目","C0501","C0501","面上项目","李雪明","70.0","2015","2019","清华大学","冷冻电镜成像技术； 冷冻电镜断层扫描三维重构； 单颗粒三维重构； 冷冻电镜结构解析算法； 电子晶体学"
"6","31570733","6.ABC转运蛋白的结构与功能研究","2019","面上项目","C0501","C0501","面上项目","杨茂君","65.0","2015","2019","清华大学","晶体结构； 晶体筛选； 膜蛋白"
"7","31570735","7.分泌系统内新型激酶的结构和底物识别机制研究","2019","面上项目","C0501","C0501","面上项目","肖俊宇","62.0","2015","2019","北京大学","底物识别； 晶体筛选； 新型激酶； 催化机制； 结构解析"
"8","31570726","8.中介体核心复合物调控RNA聚合酶II的结构机制研究","2019","面上项目","C0501","C0501","面上项目","王雪娟","60.0","2015","2019","中国科学技术大学","RNA聚合酶II； 裂殖酵母； 中介体； 冷冻电镜法"
"9","31570725","9.铁吸收调控蛋白Fur的复合物结构和识别机制研究","2019","面上项目","C0501","C0501","面上项目","陈忠周","65.0","2015","2019","中国农业大学","结构与功能； 多种识别机制； 铁吸收调控蛋白Fur； DNA复合物； 广泛的底物种类"
"10","31570737","10.人的SMN复合物识别snRNA调控snRNP装配的结构生物学研究","2019","面上项目","C0501","C0501","面上项目","许超","62.0","2015","2019","中国科学技术大学","RNA； 蛋白质； 晶体结构； 核酸复合物"
"11","31570738","11.光合玫瑰菌核心光合复合体的结构与功能研究","2019","面上项目","C0501","C0501","面上项目","徐晓玲","62.0","2015","2019","杭州师范大学","冷冻电子显微镜； 捕光复合体； 光合细菌； 反应中心； 电子传递链"
"12","31570724","12.高等植物PSII-LHCII超复合物的三维结构研究","2019","面上项目","C0501","C0501","面上项目","曹鹏","70.0","2015","2019","中国科学院生物物理研究所","X-射线晶体学； 光系统II超复合物； 冷冻电镜法； 膜蛋白； 光合作用"
