index,approveText,title,searchYear,searchFund,searchCode,codeText,fundTypeText,personText,money,approveYear,endYear,organization,keywords
"1","31570519","1.氮沉降背景下凋落物化学计量比值的改变对土壤微食物网的影响","2019","面上项目","C0311","C0311","面上项目","李琪","63.0","2015","2019","中国科学院沈阳应用生态研究所","氮沉降； 凋落物分解； 化学计量比值； 土壤线虫； 土壤微食物网"
"2","31570512","2.不同氮磷肥力下丛枝菌根介导的土壤碳固持研究","2019","面上项目","C0311","C0311","面上项目","刘永俊","63.0","2015","2019","兰州大学","菌根； 高寒草甸； 碳固持； 群落结构； 施肥"
"3","31570523","3.土壤物理保护有机碳的饱和行为","2019","面上项目","C0311","C0311","面上项目","娄翼来","63.0","2015","2019","中国农业科学院农业环境与可持续发展研究所","土壤有机质； 土壤碳循环； 碳饱和"
"4","31570517","4.青藏高原高寒草甸退化沙化过程及恢复过程中土壤微生物的响应机制","2019","面上项目","C0311","C0311","面上项目","张楠楠","66.0","2015","2019","中国科学院成都生物研究所","多样性指数； 微生物群落结构； 微生物多样性； 微生物生物量"
"5","31570516","5.蚯蚓入侵对南亚热带森林根系碳转化过程的影响及机制","2019","面上项目","C0311","C0311","面上项目","张卫信","63.0","2015","2019","中国科学院华南植物园","蚯蚓入侵； 根系来源碳； 同位素标记； 蚯蚓； 土壤动物"
"6","31570520","6.基于代谢组学筛选人参根际土壤中特异分泌物及其功能解析","2019","面上项目","C0311","C0311","面上项目","唐中华","66.0","2015","2019","东北林业大学","化感作用； 代谢组学； 根系分泌物； 根际微生物； 信号分子"
"7","31570518","7.利用历史风干土样反演土壤微生物群落结构与活性的研究","2019","面上项目","C0311","C0311","面上项目","崔骁勇","63.0","2015","2019","中国科学院大学","微生物群落动态； 土壤呼吸； 微生物群落结构； 微生物多样性； 微生物生物量"
"8","31570002","8.西北干旱区膜下滴灌棉田土壤的N2O产生、排放特征及其关键调控因子","2019","面上项目","C0311","C0311","面上项目","高霄鹏","63.0","2015","2019","中国科学院新疆生态与地理研究所","土壤剖面； 膜下滴灌； 氮肥管理； 温室气体； 关键因子"
"9","31570521","9.三峡库区消落区水文变化和植被恢复对土壤氮循环的关键微生物过程的影响与机制","2019","面上项目","C0311","C0311","面上项目","叶琛","63.0","2015","2019","中国科学院武汉植物园","土壤微生物； 消落区； 氮循环； 水文变化； 植被恢复"
"10","31570513","10.放牧对盐沼土壤生物功能群和碳氮过程的影响及其机制","2019","面上项目","C0311","C0311","面上项目","吴纪华","63.0","2015","2019","复旦大学","植物-土壤反馈； 土壤生物； 地上-地下耦联"
"11","31570522","11.黄河三角洲盐碱地垦殖对土壤碳过程的影响及其机制研究","2019","面上项目","C0311","C0311","面上项目","陈为峰","63.0","2015","2019","山东农业大学","元素迁移和固持； 碳淋溶； 土壤呼吸； 碳储量； 碳循环"
"12","31570515","12.场地铬污染土壤微生物原位稳定化/固化机理研究","2019","面上项目","C0311","C0311","面上项目","施维林","63.0","2015","2019","苏州科技大学","土壤修复； 土壤微生物区系； 微生物群落结构； 微生物多样性； 微生物生物量"
"13","31570514","13.“蚯蚓-菌根-玉米”微生态系统对盐碱地氮磷循环的驱动机理","2019","面上项目","C0311","C0311","面上项目","王冲","63.0","2015","2019","中国农业大学","养分利用效率； 菌根真菌； 土壤结构； 土壤生物； 根际微生物"
"14","31600431","1.秸秆还田条件下模拟增温对水稻土碳氮矿化的影响机制研究","2019","青年科学基金项目","C0311","C0311","青年科学基金项目","蒋婧","18.0","2016","2019","江苏省农业科学院","秸秆还田； 碳氮矿化； 温度； 水稻土"
"15","31600433","2.中亚热带森林土壤中羟基自由基对有机碳矿化的作用及机制","2019","青年科学基金项目","C0311","C0311","青年科学基金项目","林燕语","20.0","2016","2019","福建师范大学","铁氧化； 土壤有机碳； 羟基自由基； 抗氧化性"
"16","31600426","3.改变降水季节分配格局对我国北方温带草原土壤动物群落组成及结构的影响","2019","青年科学基金项目","C0311","C0311","青年科学基金项目","宋敏","20.0","2016","2019","河南大学","线虫； 降水季节分配格局； 气候变化； 温带草原； 土壤小节肢动物"
"17","31600430","4.氮沉降增加背景下微生物群落结构与功能变化对凋落物分解的反馈调节","2019","青年科学基金项目","C0311","C0311","青年科学基金项目","黄峰","20.0","2016","2019","中国科学院华南植物园","氮沉降； 凋落物分解； 微生物； 真菌； 群落结构"
"18","31600428","5.热带山地雨林土壤有机碳库对氮磷添加的响应及其微生物学机制","2019","青年科学基金项目","C0311","C0311","青年科学基金项目","井新","20.0","2016","2019","北京大学","土壤微生物； 热带雨林； 碳循环"
"19","31600432","6.藏北高寒草甸土壤微生物群落结构对增温增水的响应","2019","青年科学基金项目","C0311","C0311","青年科学基金项目","付刚","20.0","2016","2019","中国科学院地理科学与资源研究所","真菌/细菌比值； 高寒草甸； 微生物群落结构； 气候变化； 藏北高原"
"20","31600435","7.氮沉降对南亚热带森林土壤氨基酸的组成及主要组分行为特征的影响","2019","青年科学基金项目","C0311","C0311","青年科学基金项目","蒋新宇","20.0","2016","2019","广东省科学院生态环境与土壤研究所","氮沉降； 行为特征； 土壤氨基酸； 氮循环"
"21","31600425","8.水稻土厌氧铁氨氧化过程微生物群落的宏基因组和宏转录组学研究","2019","青年科学基金项目","C0311","C0311","青年科学基金项目","张峦","21.0","2016","2019","福建农林大学","微生物群落结构； 厌氧铁氨氧化； 宏基因组； 宏转录组学； 水稻土"
"22","31600434","9.外来种南美岸蚓关键生理生态特征及其对土壤C:N:P化学计量比的影响","2019","青年科学基金项目","C0311","C0311","青年科学基金项目","张洪芝","20.0","2016","2019","中国科学院华南植物园","土壤微生物； 酶计量学； 蚯蚓； 生态化学计量学"
"23","31600424","10.小麦及其祖先物种的AM共生响应研究","2019","青年科学基金项目","C0311","C0311","青年科学基金项目","毛琳","20.0","2016","2019","兰州大学","菌根接种； 营养吸收； 作物育种； 小麦； 节节麦"
"24","31600429","11.毛竹林扩张对土壤微食物网的影响及其生态效应","2019","青年科学基金项目","C0311","C0311","青年科学基金项目","梁辰飞","20.0","2016","2019","浙江农林大学","土壤微生物； 土壤线虫； 毛竹扩张； 生态系统功能； 土壤微食物网"
"25","31560172","1.黄土高原旱地马铃薯连作对土壤碳库迁变、土壤生态退化机理研究","2019","地区科学基金项目","C0311","C0311","地区科学基金项目","胡新元","42.0","2015","2019","甘肃省农业科学院","碳库迁变； 黄土高原旱地； 马铃薯； 土壤生态退化"
"26","31560176","2.西部人工固沙区土壤线虫群落模型与环境变化预测","2019","地区科学基金项目","C0311","C0311","地区科学基金项目","杨晖","40.0","2015","2019","甘肃省科学院生物研究所","生态环境监测； 线虫； 群落； 指示作用模型； 沙坡头"
