index,approveText,title,searchYear,searchFund,searchCode,codeText,fundTypeText,personText,money,approveYear,endYear,organization,keywords
"1","31601873","1.大天鹅迁徙活动对流感病毒传播影响研究","2019","青年科学基金项目","C0407","C0407","青年科学基金项目","柴洪亮","19.0","2016","2019","东北林业大学","卫星跟踪； 禽流感病毒； 监测； 传播途径； 疫源动物"
"2","31672309","1.东北林蛙Toll样受体信号通路对病原微生物胁迫的响应及机制","2020","面上项目","C0407","C0407","面上项目","肖向红","63.0","2016","2020","东北林业大学","两栖动物保护； Toll样受体信号通路； 微生物胁迫； 东北林蛙； 脊椎动物"
"3","31801989","1.越冬白头鹤与同域家禽肠道病原细菌交互感染的时空特征","2021","青年科学基金项目","C0407","C0407","青年科学基金项目","项兴佳","23.0","2018","2021","安徽大学","跨类群； 白头鹤； 传播途径； 家禽； 病原细菌"
