index,approveText,title,searchYear,searchFund,searchCode,codeText,fundTypeText,personText,money,approveYear,endYear,organization,keywords
"1","31601861","1.PM2.5诱导上皮细胞转录组和代谢组差异表达及致病机理的研究","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","郑璐璐","21.0","2016","2019","复旦大学","应激； 环境污染"
"2","31601865","2.七鳃鳗一种新型模式识别蛋白LIP识别病原菌激活VLRB+类淋巴细胞的分子机制研究","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","韩英伦","20.0","2016","2019","辽宁师范大学","模式识别蛋白LIP； 七鳃鳗； 免疫防御； VLRB+淋巴细胞； 脊椎动物"
"3","31601870","3.动物斜面着陆运动模式及其与形态结构的匹配机制","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","王周义","18.0","2016","2019","南京航空航天大学","壁虎； 运动模式； 生物力学； 着陆； 形态结构"
"4","31601895","4.果蝇免疫刺激响应中通路间的crosstalk与互作机制研究","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","秦笙","21.0","2016","2019","江苏科技大学","互作； 果蝇； 免疫； 通路； 网络"
"5","31601862","5.文昌鱼VCBP免疫识别和效应功能研究：VCBP类抗体功能探索","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","高瞻","20.0","2016","2019","中国海洋大学","VCBP； 无脊椎动物； 生化适应； 免疫应答； 免疫识别"
"6","31601902","6.蜕皮激素调控BBP基因参与棉铃虫先天免疫反应的机制研究","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","王刚","19.0","2016","2019","潍坊医学院","RNA干扰； 先天免疫； 蛋白互作； 蜕皮激素； BBP基因"
"7","31601863","7.EIF4A3通过抑制Wnt/β-catenin信号通路调控胚胎早期发育的作用及机制研究","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","荣小至","19.0","2016","2019","中国海洋大学","脊椎动物； 生化适应； 母体效应； 生长发育"
"8","31601868","8.强脚树莺的鸣唱行为与领域竞争力的相关性研究","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","夏灿玮","20.0","2016","2019","北京师范大学","鸣唱； 竞争力； 强脚树莺； 领域维持； 攻击行为"
"9","31601891","9.黄翅大白蚁多蚁后巢体中繁殖蚁遗传关系及蚁后交配权分配机制","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","李刚华","20.0","2016","2019","湖北师范大学","多蚁后； 黄翅大白蚁； 遗传关系； 生殖方式； 交配权"
"10","31601900","10.cry2对小地老虎生物钟和昼夜节律的调控机制","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","曹阳慧","19.0","2016","2019","中国科学院分子植物科学卓越创新中心","生物钟机制； 小地老虎； 隐花色素； 基因组编辑； 夜出性活动节律"
"11","31601892","11.灰茶尺蛾与茶尺蠖求偶通讯种间隔离的化学生态机制","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","罗宗秀","19.0","2016","2019","中国农业科学院茶叶研究所","化学通讯； 交配行为； 信息素； 种间隔离"
"12","31601866","12.盾纤类纤毛虫对有机磷农药胁迫的生理生化与分子响应机制的研究","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","母伟杰","20.0","2016","2019","哈尔滨师范大学","分子机制； 农药胁迫； 生理生化响应； 原生动物； 生物监测及修复体系"
"13","31601904","13.神经肽Tachykinin调控棉铃虫中肠脂肪代谢分子机理","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","刘晓光","20.0","2016","2019","河南农业大学","脂肪代谢； 神经肽； 信号； 棉铃虫； cAMP/PKA"
"14","31601905","14.基于松墨天牛幼虫中肠酶解障碍机制的Cry3Aa毒素分子改造研究","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","吴松青","20.0","2016","2019","福建农林大学","苏云金芽胞杆菌； 分子改造； Cry毒素； 松墨天牛； 昆虫毒理"
"15","31601864","15.东亚钳蝎的TRP通道基因克隆与功能鉴定","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","谢畅","21.0","2016","2019","武汉大学","蝎； 无脊椎动物； 环境感觉； TRP通道； 基因克隆与鉴定"
"16","31601890","16.肠道共生微生物影响赤拟谷盗化学通讯的机制研究","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","王争艳","20.0","2016","2019","河南工业大学","生物合成； 赤拟谷盗； 肠道共生微生物； 信息化学物质"
"17","31601893","17.赤拟谷盗肌球蛋白Dachs影响翅膀和腿发育的下游基因及其调控关系","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","李承军","21.0","2016","2019","江苏大学","RNA干扰； 赤拟谷盗； Dachs； 翅膀； 腿"
"18","31601897","18.一种新型蚜虫兼性共生菌提高荻草谷网蚜适合度的分子基础研究","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","李彤","19.0","2016","2019","河南省农业科学院","RNA干扰； 蚜虫； 兼性共生菌； 转录组； 调控网络"
"19","31601867","19.TGF-β/Smads信号通路调控涡虫神经再生的分子机制研究","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","田庆南","19.0","2016","2019","郑州大学","再生； TGF-β/Smads信号通路； 干细胞； 涡虫； 三角涡虫"
"20","31601869","20.红嘴相思鸟繁殖成功率与种群动态研究","2019","青年科学基金项目","C0403","C0403","青年科学基金项目","张志强","20.0","2016","2019","中南林业科技大学","繁殖成功； 巢日存活率； 性二态； 种群密度； 种群动态"
"21","31672358","1.贮存蛋白基因在家蚕抵御白僵菌感染过程中的作用机制研究","2020","面上项目","C0403","C0403","面上项目","侯成香","62.0","2016","2020","江苏科技大学","贮存蛋白； 家蚕； 白僵菌侵染； 基因克隆与表达； 基因组编辑"
"22","31672366","2.ABC转运蛋白在昆虫穿透抗性中的作用机理研究","2020","面上项目","C0403","C0403","面上项目","伍一军","63.0","2016","2020","中国科学院动物研究所","昆虫； 机理； ATP结合盒； 杀虫剂； 穿透抗性"
"23","31672371","3.抗性CYP6G4基因过量表达的分子机制研究","2020","面上项目","C0403","C0403","面上项目","邱星辉","65.0","2016","2020","中国科学院动物研究所","细胞色素P450； 抗性基因； 抗性调控； 解毒作用； 杀虫剂抗性"
"24","31672301","4.金丝猴重层社会中雌性在食物竞争中的合作策略研究","2020","面上项目","C0403","C0403","面上项目","郭松涛","63.0","2016","2020","西北大学","等级； 行为可塑性； 合作行为； 脊椎动物； 攻击行为"
"25","31672362","5.植物次生物质I3C通过蜕皮激素信号途径调控斜纹夜蛾解毒酶表达的机理研究","2020","面上项目","C0403","C0403","面上项目","郑思春","64.0","2016","2020","华南师范大学","信号传导途径； 植物次生物质； 解毒酶； 蜕皮激素； 斜纹夜蛾"
"26","31672355","6.斜纹夜蛾细胞凋亡体的鉴定和功能研究","2020","面上项目","C0403","C0403","面上项目","彭建新","62.0","2016","2020","华中师范大学","细胞色素c； 凋亡体； 凋亡蛋白酶活化因子-1； 细胞凋亡； 斜纹夜蛾Sl-1细胞系"
"27","31672297","7.长尾林鸮的扩散模式及食物链特征研究","2020","面上项目","C0403","C0403","面上项目","邓文洪","60.0","2016","2020","北京师范大学","扩散行为； 稳定性同位素； 无线电遥测； 食物链； 长尾林鸮"
"28","31672299","8.高原灌丛生境下灰腹噪鹛的亲子关系","2020","面上项目","C0403","C0403","面上项目","范丽卿","62.0","2016","2020","西藏农牧学院","生活史策略； 繁殖策略； 婚配制度； 配偶选择； 亲代投入"
"29","31672305","9.仙琴蛙物种识别和个体识别的动态过程与神经机制","2020","面上项目","C0403","C0403","面上项目","方光战","61.0","2016","2020","中国科学院成都生物研究所","个体识别； 认知； 脑电； 物种识别； 神经机制"
"30","31672285","10.喀斯特石山灵长类的能量代谢进化适应对策","2020","面上项目","C0403","C0403","面上项目","黄乘明","62.0","2016","2020","中国科学院动物研究所","极端环境； 生理适应； 脊椎动物； 能量收支"
"31","31672304","11.四川短尾鼩气味的行为功能及其调节种内种间关系的作用与机制","2020","面上项目","C0403","C0403","面上项目","宗浩","56.0","2016","2020","四川师范大学","行为功能； 化学通讯； 四川短尾鼩； 小哺乳动物； 气味"
"32","31672349","12.穹宇萤雌、雄发光颜色性二型的机制研究","2020","面上项目","C0403","C0403","面上项目","付新华","62.0","2016","2020","华中农业大学","求偶； 识别； 性二型； 昆虫通讯； 萤火虫"
"33","31872222","13.NF-κB信号通路在氨氮诱导黄颡鱼细胞凋亡过程中的作用及机制","2020","面上项目","C0403","C0403","面上项目","石戈","25.0","2018","2020","浙江海洋大学","氨氮； 应激； 黄颡鱼； 生理适应； 细胞凋亡"
"34","31672360","14.蜕皮液介导的昆虫体壁免疫机理研究","2020","面上项目","C0403","C0403","面上项目","凌尔军","62.0","2016","2020","中国科学院分子植物科学卓越创新中心","免疫逃避； 致病真菌； 免疫反应； 昆虫； 蜕皮液"
